Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-10-22,27.0,49.4,28.0,45.7,53.2,13.5,10.5,1.5,0.0,0.8,23.3,14.0,14.5,65.0,34.5,0.0,380.9,65.0,0.0
2025-10-23,20.5,30.6,20.0,27.3,25.0,8.9,15.4,1.1,0.0,0.0,5.8,14.0,4.0,23.0,11.0,0.0,206.6,30.6,0.0
2025-10-24,39.0,36.5,18.0,28.8,14.4,21.5,10.5,0.7,0.0,0.0,2.3,6.0,4.0,63.0,29.5,1.5,275.7,63.0,0.0
2025-10-25,12.0,19.5,12.5,29.1,36.4,11.4,5.6,3.9,0.0,0.0,0.0,9.8,12.0,25.0,0.5,0.0,177.7,36.4,0.0
2025-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-28,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0
2025-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,0.0
2025-11-01,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,0.0,34.3,23.6,0.0,0.0,20.0,0.0,113.1,35.2,0.0
2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0
2025-11-03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,0.0,0.3,0.0,1.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,0.0,9.5,5.0,0.0
2025-11-06,40.0,43.2,37.0,50.5,45.0,10.9,12.3,0.0,0.0,0.0,0.0,9.5,0.0,24.0,23.0,43.6,339.0,50.5,0.0
2025-11-07,5.4,5.0,0.4,1.0,0.4,0.0,0.0,0.0,0.0,2.2,0.0,0.0,10.0,2.0,0.0,2.0,28.4,10.0,0.0
2025-11-08,28.0,9.8,20.0,12.1,8.1,3.5,44.5,15.7,11.3,8.0,48.7,8.2,32.5,2.0,11.5,0.0,263.9,48.7,0.0
2025-11-09,0.0,0.5,0.0,0.8,6.5,0.0,0.0,0.0,0.0,0.0,1.2,6.2,0.2,0.0,0.0,0.0,15.4,6.5,0.0
2025-11-10,18.0,47.5,6.7,26.0,4.0,1.0,0.6,0.0,47.4,18.3,0.0,0.0,0.0,21.0,14.0,26.3,230.8,47.5,0.0
2025-11-11,0.0,5.6,0.0,14.2,6.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,1.0,0.5,0.0,77.5,35.5,0.0
2025-11-12,0.0,6.8,5.2,0.7,69.8,0.0,7.5,1.1,3.4,3.5,19.3,0.0,3.5,21.0,2.5,0.0,144.3,69.8,0.0
2025-11-13,2.7,4.2,4.5,1.7,61.3,10.0,34.5,3.5,29.0,51.4,0.0,5.0,5.0,42.0,5.5,5.0,265.3,61.3,0.0
2025-11-14,9.5,12.6,20.4,22.3,74.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,16.5,6.0,47.0,0.0,209.9,74.5,0.0
2025-11-15,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,18.6,22.5,1.3,0.0,0.0,0.0,0.0,23.4,67.1,23.4,0.0
2025-11-16,4.0,16.0,1.0,4.0,0.0,0.0,1.6,12.5,0.0,0.0,15.6,14.0,14.5,0.0,1.5,9.5,94.2,16.0,0.0
2025-11-17,28.5,24.4,25.0,27.2,51.5,50.3,52.0,97.0,24.2,30.5,41.2,26.0,57.0,43.0,49.5,0.0,627.3,97.0,0.0
